2020-05-10 17:00:02 Sun , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-10 17:00:02 Sun , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 08:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 08:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 08:00:03 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 08:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 09:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 09:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 09:30:03 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 10:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 10:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 10:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 11:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 11:00:03 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 11:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 12:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 12:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 12:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 13:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 14:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 15:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 15:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 16:00:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 16:30:02 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-11 17:00:03 Mon , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 08:00:12 Tue , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-12 08:30:12 Tue , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-12 09:00:12 Tue , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-12 09:30:04 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 09:30:08 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 09:30:09 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 09:30:20 Tue , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-12 10:00:02 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 10:00:13 Tue , ERROR , getNewsData.py getAllNews line 83 , error
2020-05-12 11:00:02 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 11:00:03 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
2020-05-12 11:30:02 Tue , INFO , getNewsData.py getAllNews line 78 , 添加成功
